REQ,PRIMARY ACTOR,SECONDARY ACTOR,USE CASE,DESCRIPTION
102,Program Administrators / Nursing Staff Members,,add a listing of students,"The system allows adding a listing of students to a cohort for Program Administrators and Nursing Staff Members."
103,Program Administrators / Nursing Staff Members,,add a single student,"The system allows adding a single student to a cohort for Program Administrators and Nursing Staff Members."
105,Program Administrators / Nursing Staff Members,,specify preferred sequence of classes,"The system allows specifying a sequence of classes for a cohort for Program Administrators and Nursing Staff Members."
106,Program Administrators / Nursing Staff Members,,specify quarter for the class,"The system allows specifying the quarter for a class for Program Administrators and Nursing Staff Members."
107,Program Administrators / Nursing Staff Members,,add new classes,"The system allows adding new classes for Program Administrators and Nursing Staff Members."
108,Program Administrators / Nursing Staff Members,,add clinical classes or sections,"The system allows adding clinical classes or sections for Program Administrators and Nursing Staff Members."
109,Program Administrators / Nursing Staff Members,,add a new cohort to the system,"The system allows adding a new cohort to the system for Program Administrators and Nursing Staff Members."
110,Program Administrators / Nursing Staff Members,,add new classes for the nursing department into the system,"The system allows adding new classes for the nursing department into the system for Program Administrators and Nursing Staff Members."
114,Program Administrators / Nursing Staff Members,,create a new Program of Study,"The system allows creating a new Program of Study for Program Administrators and Nursing Staff Members."
116,Program Administrators / Nursing Staff Members,,specify classes for a Program of Study,"The system allows specifying classes for a Program of Study for Program Administrators and Nursing Staff Members."
120,Program Administrators / Nursing Staff Members,,add a new clinical site into the system,"The system allows adding a new clinical site into the system for Program Administrators and Nursing Staff Members."
122,Program Administrators / Nursing Staff Members,,add a new clinical lab section,"The system allows adding a new clinical lab section for Program Administrators and Nursing Staff Members."
124,Program Administrators / Nursing Staff Members,,add a student to a clinical lab section,"The system allows adding a student to a clinical lab section for Program Administrators and Nursing Staff Members."
125,Program Administrators / Nursing Staff Members,,remove a student from a clinical lab section,"The system allows removing a student from a clinical lab section for Program Administrators and Nursing Staff Members."
126,Program Administrators / Nursing Staff Members,student,move a student to another clinical lab section,"The system allows moving a student to another clinical lab section for Program Administrators and Nursing Staff Members."
127,Program Administrators / Nursing Staff Members,,cancel a clinical lab section,"The system allows cancelling a clinical lab section for Program Administrators and Nursing Staff Members."
128,Program Administrators / Nursing Staff Members,,add a new nursing student to the system,"The system allows adding a new nursing student to the system for Program Administrators and Nursing Staff Members."
129,A staff member,,manage part-time student progress,"The system allows managing part-time student progress for Program Administrators and Nursing Staff Members."
142,Program Administrators and Nursing Staff Members,,modify information relating to cohorts,"The system allows modifying information relating to cohorts for Program Administrators and Nursing Staff Members."
143,Program Administrators and Nursing Staff Members,,modify information to a Program of Study,"The system allows modifying information to a Program of Study for Program Administrators and Nursing Staff Members."
144,Program Administrators and Nursing Staff Members,,modify information to a Clinical Site,"The system allows modifying information to a Clinical Site for Program Administrators and Nursing Staff Members."
145,Program Administrators and Nursing Staff Members,,modify information to a Clinical Lab Section,"The system allows modifying information to a Clinical Lab Section for Program Administrators and Nursing Staff Members."
146,Program Administrators and Nursing Staff Members,,modify information to a Nursing Student,"The system allows modifying information to a Nursing Student for Program Administrators and Nursing Staff Members."
